./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n0_31.py,96.62,1.32
./new_constepoch/mod_n0_33.py,99.07,1.34
./new_constepoch/mod_n0_1.py,98.19,1.41
./new_constepoch/mod_n0_5.py,98.19,1.40
./new_constepoch/mod_n0_18.py,98.88,1.44
./new_constepoch/mod_n0_16.py,98.86,1.72
./new_constepoch/mod_n0_23.py,98.82,3.67
./new_constepoch/mod_n0_28.py,98.16,2.53
./new_constepoch/mod_n0_13.py,98.69,2.87
./new_constepoch/mod_n0_6.py,98.69,4.86
./new_constepoch/mod_n0_14.py,89.96,3.46
./new_constepoch/mod_n0_21.py,98.21,4.29
./new_constepoch/mod_n0_35.py,97.19,3.53
./new_constepoch/mod_n0_22.py,97.92,3.57
./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n1_0.py,94.39,1.18
./new_constepoch/mod_n1_7.py,99.27,1.33
./new_constepoch/mod_n1_10.py,96.16,1.25
./new_constepoch/mod_n1_1.py,99.09,1.30
./new_constepoch/mod_n0_31.py,96.62,1.32
./new_constepoch/mod_n0_33.py,99.07,1.34
./new_constepoch/mod_n1_13.py,98.89,3.67
./new_constepoch/mod_n1_14.py,98.77,1.40
./new_constepoch/mod_n0_18.py,98.88,1.44
./new_constepoch/mod_n0_16.py,98.86,1.72
./new_constepoch/mod_n0_1.py,98.19,1.41
./new_constepoch/mod_n0_5.py,98.19,1.40
./new_constepoch/mod_n0_23.py,98.82,3.67
./new_constepoch/mod_n1_2.py,98.06,1.42
./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n1_0.py,94.39,1.18
./new_constepoch/mod_n2_15.py,99.30,1.20
./new_constepoch/mod_n1_7.py,99.27,1.33
./new_constepoch/mod_n2_8.py,99.03,1.20
./new_constepoch/mod_n1_1.py,99.09,1.30
./new_constepoch/mod_n2_20.py,99.14,1.83
./new_constepoch/mod_n1_10.py,96.16,1.25
./new_constepoch/mod_n2_13.py,98.65,1.25
./new_constepoch/mod_n2_19.py,99.14,1.49
./new_constepoch/mod_n0_33.py,99.07,1.34
./new_constepoch/mod_n2_14.py,98.99,1.26
./new_constepoch/mod_n2_16.py,99.00,2.15
./new_constepoch/mod_n0_31.py,96.62,1.32
./new_constepoch/mod_n1_14.py,98.77,1.40
./new_constepoch/mod_n1_0.py,94.39,1.18
./new_constepoch/mod_n3_8.py,99.46,1.32
./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n2_15.py,99.30,1.20
./new_constepoch/mod_n3_11.py,99.45,1.51
./new_constepoch/mod_n3_6.py,99.35,1.31
./new_constepoch/mod_n3_10.py,99.34,1.20
./new_constepoch/mod_n2_8.py,99.03,1.20
./new_constepoch/mod_n3_2.py,99.28,1.84
./new_constepoch/mod_n1_7.py,99.27,1.33
./new_constepoch/mod_n1_1.py,99.09,1.30
./new_constepoch/mod_n3_13.py,99.07,1.24
./new_constepoch/mod_n3_16.py,94.80,1.23
./new_constepoch/mod_n2_20.py,99.14,1.83
./new_constepoch/mod_n2_19.py,99.14,1.49
./new_constepoch/mod_n3_8.py,99.46,1.32
./new_constepoch/mod_n4_4.py,94.16,1.11
./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n1_0.py,94.39,1.18
./new_constepoch/mod_n3_11.py,99.45,1.51
./new_constepoch/mod_n2_15.py,99.30,1.20
./new_constepoch/mod_n3_6.py,99.35,1.31
./new_constepoch/mod_n3_10.py,99.34,1.20
./new_constepoch/mod_n2_8.py,99.03,1.20
./new_constepoch/mod_n4_2.py,99.34,1.39
./new_constepoch/mod_n1_7.py,99.27,1.33
./new_constepoch/mod_n4_14.py,99.18,1.27
./new_constepoch/mod_n3_13.py,99.07,1.24
./new_constepoch/mod_n3_16.py,94.80,1.23
./new_constepoch/mod_n3_2.py,99.28,1.84
./new_constepoch/mod_n4_4.py,94.16,1.11
./new_constepoch/mod_n5_11.py,99.52,1.17
./new_constepoch/mod_n3_8.py,99.46,1.32
./new_constepoch/mod_n1_0.py,94.39,1.18
./new_constepoch/mod_n0_34.py,99.40,1.19
./new_constepoch/mod_n3_11.py,99.45,1.51
./new_constepoch/mod_n2_15.py,99.30,1.20
./new_constepoch/mod_n3_6.py,99.35,1.31
./new_constepoch/mod_n3_10.py,99.34,1.20
./new_constepoch/mod_n5_6.py,99.35,1.67
./new_constepoch/mod_n5_13.py,99.35,1.65
./new_constepoch/mod_n2_8.py,99.03,1.20
./new_constepoch/mod_n5_14.py,99.31,1.25
./new_constepoch/mod_n3_13.py,99.07,1.24
./new_constepoch/mod_n4_2.py,99.34,1.39
